challenge_id,challenge_type_disag,challenge_type
cd43b2c3-1b82-4338-b8bb-47ad8dc15269,AD HOC,Cobertura
e2ae9a27-461b-42eb-a5d5-232bd55fd990,AD HOC,Cobertura
39fb57ed-a634-4e5b-b9dc-ed6d65d97253,AD HOC,Cobertura
32b8ff1d-7ce9-4441-a2f8-14a7d246dddb,CANCELADO,xxxxxxxxx
05697bcb-efb5-4c30-86c9-3abf1f52d2aa,AD HOC,Cobertura
5cc9a3ee-a56c-4ddc-bb03-55c1c7110e6f,CANCELADO,xxxxxxxxx
d780aec0-26e1-4c95-900e-6feee5000526,AD HOC,Cobertura
afe7b86b-592a-4536-9137-556638fa1b7c,CANCELADO,xxxxxxxxx
0fbc42c9-1c0d-4868-9a3e-8cbf93ece162,AD HOC,Cobertura
e933dda7-c130-46b6-9a84-3804fc1b91ff,CANCELADO,xxxxxxxxx
87002942-b43d-4242-9b29-07ce1ff99abe,CANCELADO,xxxxxxxxx
1958644d-5d5a-4138-8c15-fc6b7f4a2d86,CANCELADO,xxxxxxxxx
50008611-2e89-4e38-be3d-c83a902d752c,AD HOC,Cobertura
00c554f2-0e48-449b-996a-e0f002b280e4,AD HOC,Cobertura
599edd20-e3fc-4174-9f1f-896e48adbc61,CANCELADO,xxxxxxxxx
a76997b9-6847-43da-bc90-c30585e7b445,AD HOC,Cobertura
cd56eda8-0c22-4896-b58c-7c5ee43e944d,CANCELADO,xxxxxxxxx
784d7c56-acd6-4a2b-b0af-339ae09b00ff,AD HOC,Cobertura
5f41f6e0-a1a4-4479-ac83-0e9ec04b0f54,CANCELADO,xxxxxxxxx
7a6edfb1-4461-43c0-a233-2e85017654d4,CANCELADO,xxxxxxxxx
41c45613-644f-4474-8db3-18ba072b33d6,CANCELADO,xxxxxxxxx
03663ad0-663c-4378-a1f4-f851b3ee4b73,AD HOC,Cobertura
25746704-50cd-4c2e-a544-a00a95326bee,AD HOC,Cobertura
cce43acb-3878-464a-88d9-c667397440a1,CANCELADO,xxxxxxxxx
a2128512-921f-40eb-a840-db4c629d31d1,CANCELADO,xxxxxxxxx
60367ef8-ce5c-4de0-9663-313b6d738474,CANCELADO,xxxxxxxxx
569e2e9d-6245-4425-bdde-d39da5060002,AD HOC,Cobertura
f6cff3ba-96dd-4fac-ac8d-a08988e721a3,CANCELADO,xxxxxxxxx
21a15c84-208d-4a7f-af2e-5887af9f3490,CANCELADO,xxxxxxxxx
885cd73a-d7fc-447d-8306-2d18c1adb057,CANCELADO,xxxxxxxxx
3fb0f9a3-8640-4e1b-9a09-8522b59afc1b,CANCELADO,xxxxxxxxx
